,time,latitude,longitude,frpfire,fire_range
1284440,2023-07-03T00:00:00,54.35,284.05,2.5981476584919605,1-5
1284442,2023-07-03T00:00:00,54.35,284.25,2.451773142520583,1-5
1291698,2023-07-03T00:00:00,54.15,289.85,4.415387274276618,1-5
1298850,2023-07-03T00:00:00,53.95,285.05,5.30461245880274,5-10
1298853,2023-07-03T00:00:00,53.95,285.35,2.3068623717089167,1-5
1298854,2023-07-03T00:00:00,53.95,285.45,4.6042103998796975,1-5
1306042,2023-07-03T00:00:00,53.75,284.25,1.201734776125015,1-5
1309639,2023-07-03T00:00:00,53.65,283.95,1.2105172470832954,1-5
1313003,2023-07-03T00:00:00,53.55,260.35,4.594696056341558,1-5
1316603,2023-07-03T00:00:00,53.45,260.35,1.1285475181393245,1-5
1320316,2023-07-03T00:00:00,53.35,271.65,6.922050860286468,5-10
1320317,2023-07-03T00:00:00,53.35,271.75,1.5566929773556062,1-5
1323914,2023-07-03T00:00:00,53.25,271.45,3.0160469015902436,1-5
1323915,2023-07-03T00:00:00,53.25,271.55,5.905479846865248,5-10
1323917,2023-07-03T00:00:00,53.25,271.75,7.617329811150515,5-10
1324037,2023-07-03T00:00:00,53.25,283.75,3.1016759934335028,1-5
1324052,2023-07-03T00:00:00,53.25,285.25,1.5113168774044787,1-5
1327517,2023-07-03T00:00:00,53.15,271.75,3.4954234413965075,1-5
1327638,2023-07-03T00:00:00,53.15,283.85,1.4110503339640843,1-5
1331117,2023-07-03T00:00:00,53.05,271.75,1.1885610696875908,1-5
1331237,2023-07-03T00:00:00,53.05,283.75,3.15876205466234,1-5
1331238,2023-07-03T00:00:00,53.05,283.85,1.1424530971566043,1-5
1334837,2023-07-03T00:00:00,52.95,283.75,4.20094860837855,1-5
1338438,2023-07-03T00:00:00,52.85,283.85,2.5103229489091348,1-5
1395909,2023-07-03T00:00:00,51.25,270.95,11.819010292108924,10-50
1399509,2023-07-03T00:00:00,51.15,270.95,2.4334763280241596,1-5
1399524,2023-07-03T00:00:00,51.15,272.45,1.2873638679682706,1-5
1403124,2023-07-03T00:00:00,51.05,272.45,1.8457826463990763,1-5
1403128,2023-07-03T00:00:00,51.05,272.85,4.550051828970286,1-5
1403129,2023-07-03T00:00:00,51.05,272.95,2.514714184388275,1-5
1413926,2023-07-03T00:00:00,50.75,272.65,1.2624802002531368,1-5
1498435,2023-07-03T00:00:00,48.35,83.55,1.831145194801941,1-5
1779622,2023-07-03T00:00:00,40.55,122.25,6.085520501510043,5-10
1986067,2023-07-03T00:00:00,34.85,246.75,2.0177727026654466,1-5
1999352,2023-07-03T00:00:00,34.45,135.25,2.749645282522337,1-5
2076035,2023-07-03T00:00:00,32.35,243.55,5.559304116592941,5-10
2102877,2023-07-03T00:00:00,31.55,47.75,3.504937784934647,1-5
2104888,2023-07-03T00:00:00,31.55,248.85,1.526686201581473,1-5
2120872,2023-07-03T00:00:00,31.05,47.25,2.0302145365230118,1-5
2136020,2023-07-03T00:00:00,30.65,122.05,2.4042014248298855,1-5
2138307,2023-07-03T00:00:00,30.65,350.75,5.11432558803995,5-10
2139621,2023-07-03T00:00:00,30.55,122.15,1.2266184438401488,1-5
2139623,2023-07-03T00:00:00,30.55,122.35,5.695432416446323,5-10
2146819,2023-07-03T00:00:00,30.35,121.95,2.2812468314139274,1-5
2150419,2023-07-03T00:00:00,30.25,121.95,1.247110876076139,1-5
2169946,2023-07-03T00:00:00,29.75,274.65,1.784305349691099,1-5
2180708,2023-07-03T00:00:00,29.45,270.85,3.7918318362385506,1-5
2195091,2023-07-03T00:00:00,29.05,269.15,4.4373434516723265,1-5
2258608,2023-07-03T00:00:00,27.25,140.85,1.4205646775022238,1-5
2272801,2023-07-03T00:00:00,26.85,120.15,1.6928212772089886,1-5
2315324,2023-07-03T00:00:00,25.65,52.45,3.8211067394328246,1-5
2333328,2023-07-03T00:00:00,25.15,52.85,3.250977999724306,1-5
2346224,2023-07-03T00:00:00,24.85,262.45,4.235346619631823,1-5
2349823,2023-07-03T00:00:00,24.75,262.35,5.77081529217158,5-10
2354966,2023-07-03T00:00:00,24.55,56.65,1.5676710660534603,1-5
2364084,2023-07-03T00:00:00,24.35,248.45,2.23806634920237,1-5
2503106,2023-07-03T00:00:00,20.45,110.65,1.0612152407924889,1-5
2506705,2023-07-03T00:00:00,20.35,110.55,5.565890969811651,5-10
2513904,2023-07-03T00:00:00,20.15,110.45,4.503943856439303,1-5
2762436,2023-07-03T00:00:00,13.25,123.65,2.6925592212935,1-5
2893764,2023-07-03T00:00:00,9.65,296.45,1.5947503515081642,1-5
2923982,2023-07-03T00:00:00,8.75,78.25,2.0404607526410103,1-5
3314816,2023-07-03T00:00:00,-2.05,281.65,1.247842748655998,1-5
3427373,2023-07-03T00:00:00,-5.25,17.35,1.625488999862153,1-5
3427460,2023-07-03T00:00:00,-5.25,26.05,1.1073232133234754,1-5
3430977,2023-07-03T00:00:00,-5.35,17.75,1.1336706261983238,1-5
3434572,2023-07-03T00:00:00,-5.45,17.25,1.184169834208447,1-5
3438172,2023-07-03T00:00:00,-5.55,17.25,2.1019380493489876,1-5
3449004,2023-07-03T00:00:00,-5.85,20.45,4.00334301181719,1-5
3452568,2023-07-03T00:00:00,-5.95,16.85,2.060221312297145,1-5
3452573,2023-07-03T00:00:00,-5.95,17.35,1.0948813794659067,1-5
3452574,2023-07-03T00:00:00,-5.95,17.45,1.102200105264476,1-5
3452575,2023-07-03T00:00:00,-5.95,17.55,1.119033174601185,1-5
3459773,2023-07-03T00:00:00,-6.15,17.35,1.5193674757829037,1-5
3459777,2023-07-03T00:00:00,-6.15,17.75,2.9048022694519986,1-5
3459779,2023-07-03T00:00:00,-6.15,17.95,1.0780483101291978,1-5
3463376,2023-07-03T00:00:00,-6.25,17.65,1.127815645559469,1-5
3463466,2023-07-03T00:00:00,-6.25,26.65,1.635735215980148,1-5
3466978,2023-07-03T00:00:00,-6.35,17.85,2.3822452474341773,1-5
3470549,2023-07-03T00:00:00,-6.45,14.95,1.0385271908169251,1-5
3470552,2023-07-03T00:00:00,-6.45,15.25,2.613516982668955,1-5
3474149,2023-07-03T00:00:00,-6.55,14.95,1.1914885600070164,1-5
3474151,2023-07-03T00:00:00,-6.55,15.15,1.1051275955839053,1-5
3474152,2023-07-03T00:00:00,-6.55,15.25,1.2932188486071254,1-5
3474196,2023-07-03T00:00:00,-6.55,19.65,1.0334040827579294,1-5
3477755,2023-07-03T00:00:00,-6.65,15.55,1.6540320304765714,1-5
3477771,2023-07-03T00:00:00,-6.65,17.15,3.207797517512752,1-5
3477778,2023-07-03T00:00:00,-6.65,17.85,1.190756687427161,1-5
3477789,2023-07-03T00:00:00,-6.65,18.95,1.5925547337685941,1-5
3477798,2023-07-03T00:00:00,-6.65,19.85,1.3056606824646906,1-5
3477929,2023-07-03T00:00:00,-6.65,32.95,1.1644092745523125,1-5
3481508,2023-07-03T00:00:00,-6.75,30.85,1.2244228261005787,1-5
3484977,2023-07-03T00:00:00,-6.85,17.75,1.756494191656536,1-5
3484978,2023-07-03T00:00:00,-6.85,17.85,1.1204969197608996,1-5
3488555,2023-07-03T00:00:00,-6.95,15.55,1.3005375744056948,1-5
3488736,2023-07-03T00:00:00,-6.95,33.65,1.1344024987781793,1-5
3492184,2023-07-03T00:00:00,-7.05,18.45,1.5808447724908845,1-5
3492185,2023-07-03T00:00:00,-7.05,18.55,1.5779172821714553,1-5
3492199,2023-07-03T00:00:00,-7.05,19.95,1.1702642551911673,1-5
3495770,2023-07-03T00:00:00,-7.15,17.05,1.0846351633479117,1-5
3495771,2023-07-03T00:00:00,-7.15,17.15,1.0238897392197899,1-5
3495782,2023-07-03T00:00:00,-7.15,18.25,1.6203658918031536,1-5
3495791,2023-07-03T00:00:00,-7.15,19.15,1.6071921853657294,1-5
3499355,2023-07-03T00:00:00,-7.25,15.55,1.184901706788306,1-5
3499370,2023-07-03T00:00:00,-7.25,17.05,2.594488295592676,1-5
3499371,2023-07-03T00:00:00,-7.25,17.15,3.2231668416897463,1-5
3499372,2023-07-03T00:00:00,-7.25,17.25,1.8069933996666627,1-5
3499373,2023-07-03T00:00:00,-7.25,17.35,1.1717280003508819,1-5
3499377,2023-07-03T00:00:00,-7.25,17.75,1.8889631286106336,1-5
3502968,2023-07-03T00:00:00,-7.35,16.85,1.5413236531786119,1-5
3502973,2023-07-03T00:00:00,-7.35,17.35,1.0085204150427955,1-5
3502975,2023-07-03T00:00:00,-7.35,17.55,1.6342714708204369,1-5
3506558,2023-07-03T00:00:00,-7.45,15.85,1.387630411408665,1-5
3506574,2023-07-03T00:00:00,-7.45,17.45,1.02828097469893,1-5
3506575,2023-07-03T00:00:00,-7.45,17.55,2.8835779646361495,1-5
3506586,2023-07-03T00:00:00,-7.45,18.65,1.0458459166154945,1-5
3506589,2023-07-03T00:00:00,-7.45,18.95,1.0377953182370696,1-5
3506599,2023-07-03T00:00:00,-7.45,19.95,1.2493064938157126,1-5
3506600,2023-07-03T00:00:00,-7.45,20.05,1.5127806225641933,1-5
3506606,2023-07-03T00:00:00,-7.45,20.65,1.302733192145265,1-5
3510188,2023-07-03T00:00:00,-7.55,18.85,1.8970137269890586,1-5
3510192,2023-07-03T00:00:00,-7.55,19.25,2.0785181267935684,1-5
3510195,2023-07-03T00:00:00,-7.55,19.55,1.2902913582876963,1-5
3513777,2023-07-03T00:00:00,-7.65,17.75,1.0751208198097721,1-5
3513787,2023-07-03T00:00:00,-7.65,18.75,1.4959475532274844,1-5
3513788,2023-07-03T00:00:00,-7.65,18.85,3.899417105477511,1-5
3513809,2023-07-03T00:00:00,-7.65,20.95,2.912120995250568,1-5
3517377,2023-07-03T00:00:00,-7.75,17.75,2.0829093622727086,1-5
3517381,2023-07-03T00:00:00,-7.75,18.15,3.5012784220353623,1-5
3517387,2023-07-03T00:00:00,-7.75,18.75,1.7806459867918143,1-5
3520971,2023-07-03T00:00:00,-7.85,17.15,1.2127128648228656,1-5
3520979,2023-07-03T00:00:00,-7.85,17.95,2.158292237997969,1-5
3520997,2023-07-03T00:00:00,-7.85,19.75,8.583401616561611,5-10
3524606,2023-07-03T00:00:00,-7.95,20.65,2.3024711362297765,1-5
3524609,2023-07-03T00:00:00,-7.95,20.95,1.1095188310630455,1-5
3528179,2023-07-03T00:00:00,-8.05,17.95,1.1014682326846206,1-5
3528215,2023-07-03T00:00:00,-8.05,21.55,1.1717280003508819,1-5
3531768,2023-07-03T00:00:00,-8.15,16.85,4.574203624105564,1-5
3531782,2023-07-03T00:00:00,-8.15,18.25,1.167336764871738,1-5
3531797,2023-07-03T00:00:00,-8.15,19.75,11.879755716237046,10-50
3531811,2023-07-03T00:00:00,-8.15,21.15,1.6650101191744255,1-5
3531812,2023-07-03T00:00:00,-8.15,21.25,1.7550304464968214,1-5
3535379,2023-07-03T00:00:00,-8.25,17.95,1.9555635333776102,1-5
3535380,2023-07-03T00:00:00,-8.25,18.05,2.31857233298663,1-5
3535394,2023-07-03T00:00:00,-8.25,19.45,2.0426563703805805,1-5
3535397,2023-07-03T00:00:00,-8.25,19.75,5.20654153310192,5-10
3538999,2023-07-03T00:00:00,-8.35,19.95,1.1058594681637608,1-5
3542569,2023-07-03T00:00:00,-8.45,16.95,1.422760295241794,1-5
3542575,2023-07-03T00:00:00,-8.45,17.55,1.0480415343550682,1-5
3542595,2023-07-03T00:00:00,-8.45,19.55,2.5476484504818337,1-5
3542596,2023-07-03T00:00:00,-8.45,19.65,2.5937564230128203,1-5
3542603,2023-07-03T00:00:00,-8.45,20.35,4.080189632702165,1-5
3542627,2023-07-03T00:00:00,-8.45,22.75,1.2536977292948528,1-5
3542651,2023-07-03T00:00:00,-8.45,25.15,1.8999412173084878,1-5
3546167,2023-07-03T00:00:00,-8.55,16.75,6.315328491585106,5-10
3546172,2023-07-03T00:00:00,-8.55,17.25,3.42955490920939,1-5
3546218,2023-07-03T00:00:00,-8.55,21.85,1.015839140841365,1-5
3547197,2023-07-03T00:00:00,-8.55,119.75,7.2755453163573485,5-10
