"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2023","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"H5213310",48.8388479,4.2021379,105,"site",2023-09-04,"La Soude à Soudron",94.7142857142857,175.490476190476,-46.0288171926301,"inf à -40%","#fd8d3c","-46,0%","Débit moyen au 4 septembre 2023: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-46,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"H5522010",49.1942868,3.2493072,347,"site",2023-09-04,"L'Ourcq à Chouy",753.428571428571,1009.0380952381,-25.3319993581822,"inf à -15%","#fdbe85","-25,3%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-25,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"H6020210",48.7488729,0.5811118,149,"site",2023-09-04,"La Risle à Rai",736.571428571429,591.133333333333,24.6032641092979,"sup à 15%","#c6dbef","+24,6%","Débit moyen au 4 septembre 2023: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+24,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"H6021020",49.0679206,4.9143146,388,"site",2023-09-04,"L'Aisne à Verrières",394.142857142857,411.316770186335,-4.17534958170995,"inf à 0%","#feedde","-4,2%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-4,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"H6110610",48.9450065,0.4843949,83.3,"site",2023-09-04,"La Guiel à Montreuil-l'Argillé",382.285714285714,445.095238095238,-14.1114796191292,"inf à 0%","#feedde","-14,1%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-14,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"H6162010",49.334069,4.9032473,1000,"site",2023-09-04,"L'Aire à Chevières",2264.14285714286,2325.55714285714,-2.64084182592166,"inf à 0%","#feedde","-2,6%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-2,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"H6221010",49.4914628,4.5386023,2940,"site",2023-09-04,"L'Aisne à Givry",6492.57142857143,6036.97142857143,7.54683048264504,"0 et 15%","#eff3ff","+7,5%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+7,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"H6230210",49.2420181,0.6948541,1800,"site",2023-09-04,"La Risle à Pont-Authou",5291.42857142857,7147.97619047619,-25.973052645604,"inf à -15%","#fdbe85","-26,0%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-26,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7021010",49.9241514,4.0781945,314,"site",2023-09-04,"L'Oise à Hirson",1479,2191.87619047619,-32.5235610283862,"inf à -15%","#fdbe85","-32,5%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-32,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7053110",50.0093444,3.7515986,21,"site",2023-09-04,"Le Morteau au Nouvion-en-Thiérache [Moulin Lointain]",72.5714285714286,99.8047619047619,-27.2866071854573,"inf à -15%","#fdbe85","-27,3%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-27,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7142010",49.6846375,3.6669357,748,"site",2023-09-04,"La Serre à Mortiers",3030,3899.09523809524,-22.289664268878,"inf à -15%","#fdbe85","-22,3%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-22,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7302020",49.4823039,3.5433168,119,"site",2023-09-04,"L'Ailette à Chavignon",89.1428571428571,223.72380952381,-60.1549529607085,"inf à -60%","#e6550d","-60,2%","Débit moyen au 4 septembre 2023: <span style='background: #e6550d; display: inline-block; padding: 2px; padding-bottom:0'>-60,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7401010",49.5603974,2.986516,4316,"site",2023-09-04,"L'Oise à Sempigny",13822.7142857143,14141.2,-2.25218308407844,"inf à 0%","#feedde","-2,3%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-2,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7423710",49.4419155,2.8460214,282,"site",2023-09-04,"L'Aronde à Clairoix",324.857142857143,703.738095238095,-53.838346246236,"inf à -40%","#fd8d3c","-53,8%","Débit moyen au 4 septembre 2023: <span style='background: #fd8d3c; display: inline-block; padding: 2px; padding-bottom:0'>-53,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7513010",49.306823,2.774263,276,"site",2023-09-04,"L'Automne à Saintines",1245.42857142857,1530.14761904762,-18.6072927915453,"inf à -15%","#fdbe85","-18,6%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-18,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7602010",49.28753,2.4613847,457,"site",2023-09-04,"La Breche à Nogent-sur-Oise",1128.42857142857,1456.28095238095,-22.5129897095994,"inf à -15%","#fdbe85","-22,5%","Débit moyen au 4 septembre 2023: <span style='background: #fdbe85; display: inline-block; padding: 2px; padding-bottom:0'>-22,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7742010",49.4261201,2.0839866,750,"site",2023-09-04,"Le Therain à Beauvais",4034.71428571429,4185.36666666667,-3.59950257529919,"inf à 0%","#feedde","-3,6%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-3,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"H7813210",49.1032619,2.6880159,42,"site",2023-09-04,"La Launette à Ver-sur-Launette",58,57.3439153439153,1.14412253183252,"0 et 15%","#eff3ff","+1,1%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+1,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"I1011010",48.8315014,0.2776996,87,"site",2023-09-04,"La Touques à Mardilly",334,348.824675324675,-4.24989296152191,"inf à 0%","#feedde","-4,2%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-4,2%</span> par rapport à la moyenne 1990-2020 à cette période."
"I1031010",49.1093956,0.2173183,289,"site",2023-09-04,"La Touques à Saint-Martin-de-la-Lieue",1477.71428571429,1535,-3.73196835737524,"inf à 0%","#feedde","-3,7%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-3,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"I1103010",49.1314704,0.2536006,326,"site",2023-09-04,"L'Orbiquet à Beuvillers",1813.71428571429,1974.06666666667,-8.12294658838166,"inf à 0%","#feedde","-8,1%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-8,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"I1203010",49.2974031,0.2858271,175,"site",2023-09-04,"La Calonne aux Authieux-sur-Calonne",1057,1228.61904761905,-13.9684508352391,"inf à 0%","#feedde","-14,0%","Débit moyen au 4 septembre 2023: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-14,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"I2001010",48.8149085,0.0743568,87,"site",2023-09-04,"La Dives à Saint-Lambert-sur-Dive",77.7142857142857,73.4619047619048,5.78855253775839,"0 et 15%","#eff3ff","+5,8%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+5,8%</span> par rapport à la moyenne 1990-2020 à cette période."
"I2021010",48.8969084,-0.0765051,281,"site",2023-09-04,"La Dives à Beaumais",570.857142857143,570.27619047619,0.101872108752764,"0 et 15%","#eff3ff","+0,1%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+0,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"I2051030",49.1170927,-0.0545428,652,"site",2023-09-04,"La Dives au Mesnil-Mauger et à Biéville-Quétiéville",1502.42857142857,1387.01843317972,8.32073572261573,"0 et 15%","#eff3ff","+8,3%","Débit moyen au 4 septembre 2023: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+8,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"I2213610",49.239394,-0.0625958,57,"site",2023-09-04,"Le bras de l'Ancre à Cricqueville-en-Auge",345.571428571429,207.909523809524,66.2124092439478,"sup à 50%","#9ecae1","+66,2%","Débit moyen au 4 septembre 2023: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+66,2%</span> par rapport à la moyenne 1990-2020 à cette période."
